transaction_id,reason
TX-2026075721,doublon_strict
TX-2026080184,doublon_strict
TX-2026019864,doublon_strict
TX-2026076699,doublon_strict
TX-2026092991,doublon_strict
TX-2026076434,doublon_strict
TX-2026084004,doublon_strict
TX-2026080917,doublon_strict
TX-2026060767,doublon_strict
TX-2026050074,doublon_strict
TX-2026027701,doublon_strict
TX-2026042141,doublon_strict
TX-2026045080,doublon_strict
TX-2026016638,doublon_strict
TX-2026020424,doublon_strict
TX-2026088702,doublon_strict
TX-2026000149,doublon_strict
TX-2026001761,doublon_strict
TX-2026063120,doublon_strict
TX-2026069161,doublon_strict
TX-2026064883,doublon_strict
TX-2026002495,doublon_strict
TX-2026080296,doublon_strict
TX-2026019447,doublon_strict
TX-2026041331,doublon_strict
TX-2026014888,doublon_strict
TX-2026088636,doublon_strict
TX-2026094892,doublon_strict
TX-2026092731,doublon_strict
TX-2026029130,doublon_strict
TX-2026079022,doublon_strict
TX-2026084936,doublon_strict
TX-2026016821,doublon_strict
TX-2026036733,doublon_strict
TX-2026015602,doublon_strict
TX-2026028533,doublon_strict
TX-2026069769,doublon_strict
TX-2026011405,doublon_strict
TX-2026096852,doublon_strict
TX-2026016130,doublon_strict
TX-2026019792,doublon_strict
TX-2026089577,doublon_strict
TX-2026040163,doublon_strict
TX-2026031776,doublon_strict
TX-2026025330,doublon_strict
TX-2026079156,doublon_strict
TX-2026051685,doublon_strict
TX-2026075498,doublon_strict
TX-2026004727,doublon_strict
TX-2026085198,doublon_strict
TX-2026035795,doublon_strict
TX-2026012256,doublon_strict
TX-2026035718,doublon_strict
TX-2026070551,doublon_strict
TX-2026054374,doublon_strict
TX-2026039691,doublon_strict
TX-2026093702,doublon_strict
TX-2026073691,doublon_strict
TX-2026098070,doublon_strict
TX-2026000575,doublon_strict
TX-2026084610,doublon_strict
TX-2026061769,doublon_strict
TX-2026032260,doublon_strict
TX-2026082199,doublon_strict
TX-2026036290,doublon_strict
TX-2026078449,doublon_strict
TX-2026060055,doublon_strict
TX-2026045948,doublon_strict
TX-2026028177,doublon_strict
TX-2026084463,doublon_strict
TX-2026000578,doublon_strict
TX-2026030959,doublon_strict
TX-2026064290,doublon_strict
TX-2026014531,doublon_strict
TX-2026017933,doublon_strict
TX-2026033608,doublon_strict
TX-2026049959,doublon_strict
TX-2026066598,doublon_strict
TX-2026099089,doublon_strict
TX-2026034451,doublon_strict
TX-2026034080,doublon_strict
